ativo,preco_ativo,min_cotas,retorno_perc,risco_var
ABEV3,18.67,100,1.013834202,0.6791733925
AZUL4,49.5,100,1.114005928,1.28665345
B3SA3,43.9,100,1.146181654,1.273857268
BBAS3,44.2,100,1.084071588,1.288878188
BBDC3,30.77,100,1.007430861,1.074283876
BBDC4,33.25,100,1.092119768,1.158339417
BBSE3,32.8,100,0.8736426158,0.07387032266
BPAC11,52.32,100,1.244183416,0.9185114282
BRAP4,30.64,100,1.148733973,0.9450210862
BRDT3,26.63,100,0.9190195932,0.8395676518
BRFS3,36.6,100,1.150260185,0.6088536667
BRKM5,28.47,100,1.279836531,0.1750275152
BRML3,14.16,100,0.9606376285,0.8966677264
BTOW3,49.49,100,1.177411943,1.250090592
CCRO3,16.8,100,0.9813770415,1.021336159
CIEL3,7.65,100,1.334975058,0.96520646
CMIG4,13.8,100,0.9396663311,0.02307541586
CSAN3,53.82,100,1.084466002,0.08503788351
CSNA3,12.43,100,0.9467366245,0.1185418552
CVCB3,53.8,100,1.163767027,0.9897448607
CYRE3,24.26,100,1.170481064,0.007335025278
ECOR3,13.5,100,0.9510813594,0.9765175841
EGIE3,42.48,100,1.069283093,0.6673742775
ELET3,35.54,100,1.203294865,1.676619016
ELET6,37.87,100,1.113517995,0.1275490058
EMBR3,17.1,100,1.170682615,0.6272651288
ENBR3,18.86,100,1.061479498,0.6098186703
EQTL3,97.59,100,1.146081607,0.6293705954
FLRY3,24.21,100,1.127903186,0.8594848706
GGBR4,12.52,100,1.11852904,0.9634680718
GNDI3,56.46,100,1.310375829,0.4891917561
GOAU4,5.83,100,1.065821846,0.09020439445
GOLL4,33.1,100,1.229019422,1.641753949
HYPE3,33.35,100,1.013702303,0.4799187559
IGTA3,46.5,100,1.102672293,0.8202521316
IRBR3,35.95,100,1.229864753,0.4356550159
ITSA4,12.33,100,1.059230089,1.023228464
ITUB4,33.21,100,1.07198403,1.141022849
JBSS3,29.45,100,1.178057312,0.089066068
KLBN11,14.55,100,1.188147646,0.01676068081
LAME4,19.76,100,0.8130565283,0.1142011891
LREN3,48.93,100,1.140796494,0.0419779184
MGLU3,39.65,100,0.965026362,2.912657196
MRFG3,11.49,100,0.8435974821,0.789616742
MRVE3,17.83,100,1.070451512,1.015895127
MULT3,27.53,100,1.05218018,0.9026051065
NATU3,31.87,100,1.165392742,0.09255038369
PCAR4,79.2,100,1.029506679,0.08379979205
PETR3,28.93,100,1.089286937,1.263424244
PETR4,26.52,100,1.057703815,1.332356128
QUAL3,30.97,100,1.02539581,0.8365166326
RADL3,101.46,100,1.095933366,0.05929128569
RAIL3,23.95,100,1.202324812,0.7943631457
RENT3,43.08,100,1.159552377,1.007643372
SANB11,44.72,100,1.129712219,1.113679719
SBSP3,50.12,100,1.127526477,0.05233238502
SMLS3,37.1,100,1.329197771,0.1696680642
SUZB3,32.23,100,0,0.2498221743
TAEE11,27.5,100,0.9967166979,0.5525723937
TIMP3,11.46,100,1.058264998,0.8315892033
UGPA3,19.25,100,1.330525451,1.078884854
USIM5,7.3,100,1.169865306,0.01365731335
VALE3,45.67,100,1.138505052,0.1855582676
VIVT4,53,100,0.9189016842,0.04038469234
VVAR3,7.59,100,0.8698759859,1.062387779
WEGE3,22.87,100,1.093231384,0.0287330852
YDUQ3,34,100,1.035188311,1.025715154
KNRI11,255,1,1.034459623,0.00000002439507308
HGBS11,91.39,1,1.055745715,0.00000002442191504
BRCR11,156.8,1,1.004928197,0.0004531143639
HGLG11,110.42,1,1.091569048,0.000000008788765473
JSRE11,93,1,1.079647431,0.0005468412286
ABCP11,117.23,1,1.033451101,0.0000001657449177
HGCR11,90.8,1,1.050269281,0.00000003712070764
TBOF11,104.11,1,1.039947981,0.0004523085561
HFOF11,101248.78,1,1.094985905,0.00000003091171492